,Tags_Will revert after reading the email,Total Time Spent on Website,Lead Profile_Potential Lead,Last Notable Activity_SMS Sent,Lead Origin_Lead Add Form,Lead Profile_Unspecified,What is your current occupation_Working Professional,Last Activity_SMS Sent,Tags_Interested in other courses,Tags_Ringing,Lead Source_Reference,What is your current occupation_Unemployed,Last Notable Activity_Modified,Last Activity_Olark Chat Conversation,Tags_Closed by Horizzon,Specialization_Unspecified,Tags_switched off,Specialization_Operations Management,Tags_Lateral student,Do Not Email_Yes,Tags_Lost to Others,Tags_number not provided,Tags_in touch with EINS,Specialization_International Business,TotalVisits,Specialization_Human Resource Management,Last Activity_Email Bounced,Tags_invalid number,Tags_Graduation in progress,Lead Source_Social Media,Specialization_Rural and Agribusiness,Tags_Still Thinking,Tags_opp hangup,Last Notable Activity_Email Received,Tags_Interested  in full time MBA,Lead Source_Olark Chat,Lead Origin_Landing Page Submission,Last Activity_Page Visited on Website,Lead Profile_Student of SomeSchool,Tags_wrong number given,Lead Source_blog,Lead Source_Welingak Website,How did you hear about X Education_Student of SomeSchool,What is your current occupation_Other,Tags_Not doing further education,Last Activity_View in browser link Clicked,Specialization_IT Projects Management,Tags_Busy,Specialization_E-COMMERCE,Last Notable Activity_Resubscribed to emails,Lead Source_Direct Traffic,Last Activity_Unreachable,City_Tier II Cities,How did you hear about X Education_SMS,Last Activity_Resubscribed to emails,Tags_In confusion whether part time or DLP,Lead Source_Pay per Click Ads,Last Notable Activity_View in browser link Clicked,Lead Profile_Lateral Student,Lead Profile_Other Leads,Lead Source_Google,Page Views Per Visit,Tags_Want to take admission but has financial problems,City_Other Metro Cities,Tags_Interested in Next batch,Last Activity_Visited Booth in Tradeshow,Lead Origin_Quick Add Form,Lead Source_Press_Release,Last Activity_Unsubscribed,Last Activity_Converted to Lead,Lead Source_bing,Lead Origin_Lead Import,Last Activity_Email Received,How did you hear about X Education_Unspecified,What matters most to you in choosing a course_Other,Lead Source_Live Chat,How did you hear about X Education_Other,Last Notable Activity_Email Opened,Last Activity_Email Opened,Lead Source_Organic Search,Lead Source_welearnblog_Home,Last Notable Activity_Page Visited on Website,Last Activity_Email Link Clicked,City_Other Cities of Maharashtra,Lead Source_Others,Last Notable Activity_Unsubscribed,Specialization_Services Excellence,Converted
3899,False,-0.8904357737302593,False,False,False,True,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
7226,True,1.477640935217886,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.1056048342174981,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.3128990300124157,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
4063,False,-0.18439133123185233,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,-0.1056048342174981,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0.3128990300124157,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,0
5919,False,-0.7773227105909797,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2.6769604521870343,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.08723921525681456,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0
487,False,-0.10229314024366548,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,0.1726516944229551,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.7949933014211268,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0
866,False,-0.16797169303421497,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,-0.3838613628579513,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-0.1691952413962954,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
5755,False,-0.8904357737302593,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1474,False,-0.76820068937007,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.0074212803443148,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2.24127611564726,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
6794,False,-0.7919179445444351,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,-0.1056048342174981,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,-0.410242377100651,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0
3041,False,-0.6532632219866084,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,-0.3838613628579513,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.6512895128050066,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
3280,False,-0.8904357737302593,True,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,-0.9403744201388577,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
7792,False,-0.8904357737302593,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,-0.9403744201388577,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.1333837842137178,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
6479,False,-0.33034367076640675,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,0.1726516944229551,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.7949933014211268,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
3721,False,-0.8211084124513459,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,-0.3838613628579513,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.6512895128050066,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0
4283,False,-0.2865579689060404,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,-0.3838613628579513,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-0.1691952413962954,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0
8866,False,-0.011072928034568972,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.1726516944229551,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.7949933014211268,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,0
9071,False,-0.297504394371132,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,-0.3838613628579513,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.1691952413962954,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0
6495,False,0.13487941149998545,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,-0.6621178914984045,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-0.6512895128050066,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
